search_word,title,price,url
Яйца,"Яйцо куриное Роскар Экстра СО, 10шт","149,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-roskar-ekstra-so-10st-44323
Яйца,"Яйцо куриное столовое С1, 10шт","89,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-stolovoe-s1-10st-3182856
Яйца,"Яйцо куриное столовое СО, 10шт","99,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-stolovoe-so-10st-3182853
Яйца,"Яйцо куриное Лето С1, 20шт","249,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-leto-s1-20st-3341462
Яйца,"Яйцо Село Зеленое Деревенское С1, 10шт","129,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-selo-zelenoe-derevenskoe-s1-10st-3446505
Яйца,"Яйцо куриное Лето пищевое столовое СО, 10шт","139,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-leto-pisevoe-stolovoe-so-10st-4236458
Яйца,"Яйца Окское куриные отборной категории, 20шт","279,99 ₽",https://www.perekrestok.ru/cat/123/p/ajca-okskoe-kurinye-otbornoj-kategorii-20st-4263543
Яйца,"Яйцо Окское белое столовое С1, 30шт","349,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-okskoe-beloe-stolovoe-s1-30st-3062838
Яйца,"Яйца куриные Окское отборной категории, 10шт","144,99 ₽",https://www.perekrestok.ru/cat/123/p/ajca-kurinye-okskoe-otbornoj-kategorii-10st-4364349
Яйца,"Яйца Волжанин куриные пищевые столовые отборной категории, 10шт","139,99 ₽",https://www.perekrestok.ru/cat/123/p/ajca-volzanin-kurinye-pisevye-stolovye-otbornoj-kategorii-10st-4201194
Яйца,"Яйцо Доброе Подворье Деревенское Лето куриное CO, 10шт","134,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-dobroe-podvore-derevenskoe-leto-kurinoe-co-10st-4337164
